,FMplex,FMplex,FMplex,FMplex,FMplex,FMplex,FMplex,FMplex,FMplex,FMplex,FMplex,CDD,CDD,CDD,CDD,Redlog,Redlog,Redlog,Redlog,Redlog,Redlog,Redlog,FM,FM,FM,FM,FM,FM,FM,FM,FM,FM,FM,z3,z3,z3,z3,z3,z3,z3,stats,stats,stats,stats,stats,stats,stats
,answer,runtime,peak_memory_kbytes,eq_conflict,output_constraints,visited_nodes,total_constraints,eliminated_by_eq,eliminated_vars,input_constraints,only_qe_ms,answer,runtime,peak_memory_kbytes,output_constraints,answer,runtime,peak_memory_kbytes,trivial_false,trivial_true,contains_disjunction,output_constraints,answer,runtime,peak_memory_kbytes,eliminated_by_eq,output_constraints,eliminated_vars,visited_nodes,input_constraints,total_constraints,eq_conflict,only_qe_ms,answer,runtime,peak_memory_kbytes,output_constraints,contains_disjunction,trivial_false,trivial_true,constraints,variables,eliminated-variables,matrix-density-overall,matrix-density-eliminated,graph-density-overall,graph-density-eliminated
ACAS-Xu-prop-3-benchmarks/ACAS-Xu-2_8-prop-3_random5,success,23.296,279196,0.0,20936.0,1605.0,251154.0,0.0,5.0,103.0,21856.0,success,24.87,366784,20936.0,timeout,310.0,2897204,,,,,memout,305.0,3994200,,,,,,,,,timeout,310.0,85200,,,,,103,36,5,0.3198635528732616,0.1844660194174757,0.5415986949429038,0.6
ACAS-Xu-prop-3-benchmarks/ACAS-Xu-2_9-prop-3_first5,success,265.73,1860960,0.0,264497.0,26174.0,5265152.0,0.0,5.0,61.0,254817.0,timeout,310.0,294728,,timeout,310.0,3198444,,,,,memout,305.0,121132,,,,,,,,,timeout,310.0,55968,,,,,61,22,5,0.3513898788310762,0.5901639344262295,0.5701357466063348,0.7142857142857143
ACAS-Xu-prop-3-benchmarks/ACAS-Xu-2_9-prop-3_last5,success,0.129,7364,0.0,116.0,29.0,395.0,0.0,5.0,61.0,47.0,success,0.428,5520,116.0,success,0.38,96388,0.0,0.0,1.0,2240.0,memout,305.0,1628156,,,,,,,,,timeout,310.0,56116,,,,,61,22,5,0.3513898788310762,0.0950819672131147,0.5701357466063348,0.7
ACAS-Xu-prop-3-benchmarks/ACAS-Xu-2_9-prop-3_random5,success,1.086,23092,0.0,2176.0,101.0,16549.0,0.0,5.0,61.0,894.0,success,1.231,26248,2177.0,success,12.556,2243000,0.0,0.0,1.0,72756.0,memout,305.0,532864,,,,,,,,,timeout,310.0,56124,,,,,61,22,5,0.3513898788310762,0.2295081967213114,0.5701357466063348,0.8235294117647058
ACAS-Xu-prop-3-benchmarks/ACAS-Xu-3_1-prop-3_first5,timeout,310.0,684500,,,,,,,,,timeout,310.0,836488,,timeout,310.0,3937580,,,,,memout,305.0,42152,,,,,,,,,timeout,310.0,83912,,,,,181,62,5,0.2879066912216083,0.6408839779005525,0.4502955400322407,0.7142857142857143
ACAS-Xu-prop-3-benchmarks/ACAS-Xu-3_1-prop-3_last5,success,0.716,7784,0.0,176.0,5.0,10.0,0.0,5.0,181.0,518.0,success,6.928,22492,176.0,success,0.275,61912,0.0,0.0,0.0,176.0,success,0.69,7988,0.0,176.0,5.0,0.0,181.0,0.0,0.0,514.0,success,2.152,85620,186.0,1.0,0.0,0.0,181,62,5,0.2879066912216083,0.0165745856353591,0.4502955400322407,0.2
ACAS-Xu-prop-3-benchmarks/ACAS-Xu-3_1-prop-3_random5,timeout,310.0,1400388,,,,,,,,,timeout,310.0,664644,,timeout,310.0,3225000,,,,,memout,305.0,1229104,,,,,,,,,timeout,310.0,83644,,,,,181,62,5,0.2879066912216083,0.2287292817679558,0.4502955400322407,0.6
ACAS-Xu-prop-3-benchmarks/ACAS-Xu-3_2-prop-3_first5,timeout,310.0,664612,,,,,,,,,timeout,310.0,742608,,timeout,310.0,3904768,,,,,memout,305.0,129432,,,,,,,,,timeout,310.0,254804,,,,,274,93,5,0.2823419785681006,0.6496350364963503,0.4538688718251624,0.7142857142857143
ACAS-Xu-prop-3-benchmarks/ACAS-Xu-3_2-prop-3_last5,success,2.091,8948,0.0,269.0,5.0,10.0,0.0,5.0,274.0,1720.0,success,30.73,47028,269.0,success,0.419,84232,0.0,0.0,0.0,269.0,success,2.118,9164,0.0,269.0,5.0,0.0,274.0,0.0,0.0,1760.0,success,3.697,144328,279.0,1.0,0.0,0.0,274,93,5,0.2823419785681006,0.010948905109489,0.4538688718251624,0.2
ACAS-Xu-prop-3-benchmarks/ACAS-Xu-3_2-prop-3_random5,success,179.017,2761608,0.0,132557.0,121.0,354734.0,0.0,5.0,274.0,168684.0,timeout,310.0,1166780,,invalid,205.312,4026132,,,,,memout,305.0,151896,,,,,,,,,timeout,310.0,144896,,,,,274,93,5,0.2823419785681006,0.2051094890510948,0.4538688718251624,0.48
