,CAlC-QE,CAlC-QE,CAlC-QE,CAlC-Opt,CAlC-Opt,CAlC-Opt,CAlC-Opt,CAlC-Opt,CAlC-Opt+,CAlC-Opt+,CAlC-Opt+,CAlC-Opt+,CAlC-Opt+,CDCL-OCAC,CDCL-OCAC,CDCL-OCAC,OptiMathSat,OptiMathSat,OptiMathSat
,answer,runtime,peak_memory_kbytes,answer,runtime,peak_memory_kbytes,smtrat-coveringng_minimization.unbounded,smtrat-coveringng_minimization.open,answer,runtime,peak_memory_kbytes,smtrat-coveringng_minimization.unbounded,smtrat-coveringng_minimization.open,answer,runtime,peak_memory_kbytes,answer,runtime,peak_memory_kbytes
nl_counters/fn-counters__instance_11_20.smt2,timeout,63030,47184,timeout,63018,47276,,,timeout,63015,47184,,,timeout,63024,132484,timeout,63098,2048236
nl_counters/fn-counters__instance_12_75.smt2,timeout,63032,453088,timeout,63035,453060,,,timeout,63032,453088,,,timeout,63026,296548,timeout,63141,2369724
nl_counters/fn-counters__instance_10_25.smt2,timeout,63021,54056,timeout,63015,54024,,,timeout,63016,54056,,,timeout,63025,113096,timeout,63089,2428808
nl_counters/fn-counters__instance_3_15.smt2,timeout,63091,857020,timeout,63113,854148,0.0,0.0,timeout,63173,857296,0.0,0.0,timeout,63021,34532,timeout,63143,1771884
nl_counters/fn-counters__instance_14_20.smt2,timeout,63020,76020,timeout,63018,76232,,,timeout,63020,76868,,,timeout,63022,107488,timeout,63125,2004784
nl_counters/fn-counters__instance_2_10.smt2,timeout,63029,135352,timeout,63021,132916,0.0,0.0,timeout,63021,140044,0.0,0.0,timeout,63017,47168,sat,9195,290828
nl_counters/fn-counters__instance_13_35.smt2,timeout,63023,151800,timeout,63019,151772,,,timeout,63020,151800,,,timeout,63021,161668,timeout,63133,2370304
nl_counters/fn-counters__instance_14_35.smt2,timeout,63032,182044,timeout,63026,182412,,,timeout,63023,182516,,,timeout,63020,185200,timeout,63162,2037088
nl_counters/fn-counters__instance_14_50.smt2,timeout,63026,327792,timeout,63024,328148,,,timeout,63031,325648,,,timeout,63027,225416,timeout,63109,2470168
nl_counters/fn-counters__instance_13_15.smt2,timeout,63022,45012,timeout,63016,44984,,,timeout,63019,45016,,,timeout,63027,140260,timeout,63147,2389080
