,CAlC-QE,CAlC-QE,CAlC-QE,CAlC-Opt,CAlC-Opt,CAlC-Opt,CAlC-Opt,CAlC-Opt,CAlC-Opt+,CAlC-Opt+,CAlC-Opt+,CAlC-Opt+,CAlC-Opt+,CDCL-OCAC,CDCL-OCAC,CDCL-OCAC,OptiMathSat,OptiMathSat,OptiMathSat
,answer,runtime,peak_memory_kbytes,answer,runtime,peak_memory_kbytes,smtrat-coveringng_minimization.unbounded,smtrat-coveringng_minimization.open,answer,runtime,peak_memory_kbytes,smtrat-coveringng_minimization.unbounded,smtrat-coveringng_minimization.open,answer,runtime,peak_memory_kbytes,answer,runtime,peak_memory_kbytes
20211101-Geogebra/Triangle-Bottema1_2.smt2,timeout,63013,39008,timeout,63015,38988,0.0,0.0,timeout,63019,39048,0.0,0.0,timeout,63014,29068,timeout,63020,241416
20211101-Geogebra/IsoTriangle-Bottema4_2a.smt2,timeout,63021,213036,timeout,63019,198512,0.0,0.0,sat,311,6080,0.0,0.0,sat,5934,17044,timeout,63020,161460
20211101-Geogebra/IsoRightTriangle-Bottema1_8b.smt2,timeout,63097,58192,timeout,63018,57616,0.0,0.0,timeout,63016,58932,0.0,0.0,timeout,63013,28668,timeout,63025,150356
20211101-Geogebra/IsoRightTriangle-Bottema1_12b.smt2,timeout,63015,29192,timeout,63016,29280,0.0,0.0,timeout,63018,29356,0.0,0.0,timeout,63011,26260,timeout,63018,170224
20211101-Geogebra/IsoRightTriangle-Bottema11_20b.smt2,sat,62,5380,sat,62,5348,0.0,0.0,sat,74,5396,0.0,0.0,sat,384,16296,timeout,63019,116160
20211101-Geogebra/RightTriangle-Bottema6_1a.smt2,timeout,63018,86716,timeout,63019,87580,0.0,0.0,timeout,63017,54472,0.0,0.0,timeout,63015,50092,timeout,63017,105696
20211101-Geogebra/Triangle-Bottema1_9.smt2,sat,1433,12280,sat,1216,12244,0.0,0.0,timeout,63019,88236,0.0,0.0,sat,1595,17852,timeout,63020,155900
20211101-Geogebra/RightTriangle-Bottema4_2b.smt2,timeout,63014,11672,timeout,63016,11644,0.0,0.0,sat,27,5196,0.0,0.0,sat,46,16060,timeout,63023,104620
20211101-Geogebra/IsoTriangle-Perimeter_CircumRadius_b.smt2,timeout,63017,49352,timeout,63018,53236,0.0,0.0,timeout,63016,13208,0.0,0.0,timeout,63012,17220,timeout,63020,200496
20211101-Geogebra/IsoTriangle-Bottema5_3a.smt2,timeout,63017,59532,timeout,63017,59492,0.0,0.0,sat,87,5820,0.0,0.0,sat,123,16476,timeout,63030,107312
